Year,Brand,Model,Engine,Price,MPG,Top Speed,Safety Features
2022,BMW,5 Series,1.6L I4,$29112,36,125,"Forward collision warning, automatic emergency braking, lane departure warning"
2019,Volkswagen,Tiguan,2.0L I4 turbo,$35219,30,145,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2019,Mercedes-Benz,GLE,1.6L I4,$36515,39,125,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2023,Mercedes-Benz,GLE,3.5L V6,$44923,25,155,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2023,Ford,Explorer,2.0L I4 turbo,$42902,26,145,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2022,Toyota,Highlander,2.0L I4 turbo,$34294,28,145,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2022,Hyundai,Sonata,2.5L I4,$29602,35,135,"Forward collision warning, automatic emergency braking, lane departure warning"
2020,Chevrolet,Silverado,2.0L I4 turbo,$25794,29,145,"Lane keep assist, forward collision warning, automatic emergency braking"
2021,Nissan,Pathfinder,2.0L I4 turbo,$32622,35,145,"Automatic emergency braking, pedestrian detection, rear cross traffic alert"
2019,Hyundai,Tucson,2.5L I4,$35004,26,135,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2020,Toyota,Corolla,3.5L V6,$37459,23,155,"Lane keep assist, forward collision warning, automatic emergency braking"
2019,Ford,Mustang,2.0L I4 turbo,$31819,27,145,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2024,Ford,F-150,2.0L I4 turbo,$28133,31,145,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2021,Honda,CR-V,Electric,$52064,127,140,"EyeSight Driver Assist Technology, lane keep assist, adaptive cruise control"
2023,Honda,Accord,1.6L I4,$38018,39,125,"Adaptive cruise control, lane departure warning, automatic emergency braking"
2021,Toyota,Camry,2.5L I4,$35202,27,135,"Forward collision warning, automatic emergency braking, lane departure warning"
2022,Kia,Soul,2.5L I4,$42035,28,135,"Blind spot monitoring, rear cross traffic alert, automatic emergency braking"
2023,Ford,Escape,2.5L I4,$25286,30,135,"Lane keep assist, forward collision warning, automatic emergency braking"
